year	week	away_team	home_team	away_score	home_score
1	1	277	40	-1	-1
1	1	75	74	-1	-1
1	1	198	81	-1	-1
1	1	87	92	-1	-1
1	1	163	94	-1	-1
1	1	119	98	-1	-1
1	1	224	100	-1	-1
1	1	83	111	-1	-1
1	1	151	118	-1	-1
1	1	55	125	-1	-1
1	1	124	138	-1	-1
1	1	289	166	-1	-1
1	1	225	223	-1	-1
1	1	284	259	-1	-1
1	1	251	261	-1	-1
1	1	208	275	-1	-1
1	2	79	32	-1	-1
1	2	53	34	-1	-1
1	2	225	35	-1	-1
1	2	33	36	-1	-1
1	2	276	38	-1	-1
1	2	66	41	-1	-1
1	2	37	42	-1	-1
1	2	194	43	-1	-1
1	2	265	45	-1	-1
1	2	39	47	-1	-1
1	2	188	50	-1	-1
1	2	97	52	-1	-1
1	2	101	54	-1	-1
1	2	212	56	-1	-1
1	2	187	57	-1	-1
1	2	235	58	-1	-1
1	2	237	59	-1	-1
1	2	219	60	-1	-1
1	2	92	61	-1	-1
1	2	106	62	-1	-1
1	2	158	64	-1	-1
1	2	234	65	-1	-1
1	2	125	67	-1	-1
1	2	220	69	-1	-1
1	2	105	70	-1	-1
1	2	116	71	-1	-1
1	2	113	72	-1	-1
1	2	98	73	-1	-1
1	2	216	74	-1	-1
1	2	99	76	-1	-1
1	2	77	78	-1	-1
1	2	213	80	-1	-1
1	2	181	82	-1	-1
1	2	81	83	-1	-1
1	2	210	85	-1	-1
1	2	51	87	-1	-1
1	2	44	88	-1	-1
1	2	95	90	-1	-1
1	2	274	91	-1	-1
1	2	48	93	-1	-1
1	2	229	102	-1	-1
1	2	165	107	-1	-1
1	2	232	110	-1	-1
1	2	226	112	-1	-1
1	2	218	114	-1	-1
1	2	169	117	-1	-1
1	2	94	118	-1	-1
1	2	160	119	-1	-1
1	2	191	120	-1	-1
1	2	126	121	-1	-1
1	2	177	122	-1	-1
1	2	172	123	-1	-1
1	2	100	124	-1	-1
1	2	175	127	-1	-1
1	2	179	128	-1	-1
1	2	63	129	-1	-1
1	2	142	130	-1	-1
1	2	115	131	-1	-1
1	2	240	132	-1	-1
1	2	104	133	-1	-1
1	2	89	134	-1	-1
1	2	108	136	-1	-1
1	2	171	137	-1	-1
1	2	46	139	-1	-1
1	2	261	140	-1	-1
1	2	135	141	-1	-1
1	2	109	143	-1	-1
1	2	284	144	-1	-1
1	2	49	145	-1	-1
1	2	84	146	-1	-1
1	2	161	147	-1	-1
1	2	156	148	-1	-1
1	2	103	149	-1	-1
1	2	287	150	-1	-1
1	2	189	151	-1	-1
1	2	40	152	-1	-1
1	2	282	153	-1	-1
1	2	96	154	-1	-1
1	2	209	155	-1	-1
1	2	272	157	-1	-1
1	2	270	159	-1	-1
1	2	86	162	-1	-1
1	2	252	163	-1	-1
1	2	215	164	-1	-1
1	2	247	166	-1	-1
1	2	236	170	-1	-1
1	2	271	173	-1	-1
1	2	269	174	-1	-1
1	2	266	176	-1	-1
1	2	291	178	-1	-1
1	2	254	180	-1	-1
1	2	258	182	-1	-1
1	2	263	183	-1	-1
1	2	248	186	-1	-1
1	2	208	190	-1	-1
1	2	292	192	-1	-1
1	2	193	195	-1	-1
1	2	245	197	-1	-1
1	2	184	207	-1	-1
1	2	185	211	-1	-1
1	2	168	214	-1	-1
1	2	249	217	-1	-1
1	2	243	227	-1	-1
